consumidor,tipo_inmueble,moneda_region,mes,dia_semana,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_384,Apartamento,BRL,1,1,1,19,4,758.48,Ineficiente
Usuario_385,Oficina,CLP,10,6,0,21,4,802.64,Moderado
Usuario_386,Oficina,MXN,11,4,1,20,5,1065.24,Ineficiente
Usuario_387,Casa,CLP,10,5,0,28,9,455.66,Eficiente
Usuario_388,Comercio,USD,6,5,0,34,6,755.67,Eficiente
Usuario_389,Comercio,ARS,3,2,1,35,8,1455.96,Ineficiente
Usuario_390,Apartamento,BRL,4,2,0,10,13,506.46,Ineficiente
Usuario_391,Comercio,USD,9,3,0,36,9,1571.42,Ineficiente
Usuario_392,Apartamento,ARS,4,2,1,6,8,298.52,Moderado
Usuario_393,Oficina,USD,9,5,0,4,5,517.11,Eficiente
Usuario_394,Comercio,PEN,10,4,1,5,4,967.62,Ineficiente
Usuario_395,Apartamento,ARS,4,6,0,20,1,393.26,Eficiente
Usuario_396,Apartamento,MXN,12,0,0,31,4,947.43,Ineficiente
Usuario_397,Apartamento,ARS,4,4,1,19,7,596.78,Ineficiente
Usuario_398,Comercio,CLP,11,2,1,24,9,826.08,Moderado
Usuario_399,Comercio,ARS,2,6,0,31,13,1619.99,Ineficiente
Usuario_400,Oficina,MXN,6,2,1,37,4,1239.95,Ineficiente
Usuario_401,Apartamento,USD,5,4,0,38,12,368.44,Eficiente
Usuario_402,Comercio,COP,3,1,1,25,10,1419.91,Ineficiente
Usuario_403,Apartamento,ARS,9,5,0,22,5,481.45,Moderado
Usuario_404,Comercio,PEN,11,5,1,11,12,1067.85,Ineficiente
Usuario_405,Oficina,MXN,3,5,1,12,9,630.6,Moderado
Usuario_406,Casa,CLP,1,6,0,4,13,591.29,Ineficiente
Usuario_407,Casa,ARS,3,6,0,5,12,424.37,Moderado
Usuario_408,Apartamento,USD,4,4,1,4,10,153.93,Eficiente
Usuario_409,Comercio,PEN,8,0,1,36,7,1412.95,Ineficiente
Usuario_410,Casa,USD,9,5,1,19,1,347.03,Eficiente
Usuario_411,Comercio,BRL,3,0,0,34,3,1072.29,Eficiente
Usuario_412,Apartamento,MXN,10,4,1,23,5,720.16,Ineficiente
Usuario_413,Comercio,USD,6,3,1,16,12,1283.9,Ineficiente
Usuario_414,Apartamento,COP,11,6,0,3,2,300.63,Moderado
Usuario_415,Comercio,ARS,7,4,1,1,12,1103.26,Ineficiente
Usuario_416,Apartamento,USD,8,6,1,22,10,415.18,Ineficiente
Usuario_417,Casa,CLP,1,1,1,37,8,597.21,Moderado
Usuario_418,Oficina,USD,2,5,0,35,10,833.01,Moderado
Usuario_419,Casa,MXN,6,0,0,38,3,957.06,Moderado
Usuario_420,Comercio,USD,5,1,1,37,7,1346.97,Ineficiente
Usuario_421,Oficina,ARS,12,1,0,6,9,964.67,Ineficiente
Usuario_422,Oficina,USD,2,3,1,5,6,862.95,Ineficiente
Usuario_423,Comercio,BRL,6,0,0,29,8,773.04,Eficiente
Usuario_424,Apartamento,COP,9,3,1,38,11,602.15,Ineficiente
Usuario_425,Comercio,USD,10,2,0,5,2,486.59,Eficiente
Usuario_426,Oficina,MXN,7,5,0,10,12,881.75,Ineficiente
Usuario_427,Comercio,COP,6,0,1,20,8,940.5,Moderado
Usuario_428,Oficina,BRL,5,0,1,12,7,1064.01,Ineficiente
Usuario_429,Comercio,CLP,9,4,1,2,2,612.77,Moderado
Usuario_430,Oficina,CLP,2,4,1,21,7,495.77,Eficiente
Usuario_431,Casa,COP,7,3,0,36,4,572.39,Eficiente
Usuario_432,Apartamento,PEN,7,1,1,20,5,565.23,Ineficiente
Usuario_433,Comercio,MXN,2,1,1,27,5,1475.76,Ineficiente
Usuario_434,Comercio,BRL,2,2,1,16,12,801.13,Eficiente
Usuario_435,Comercio,CLP,10,1,1,9,5,475.32,Eficiente
Usuario_436,Casa,ARS,6,6,0,22,8,752.74,Ineficiente
Usuario_437,Oficina,ARS,11,4,1,21,10,494.35,Eficiente
Usuario_438,Apartamento,ARS,6,1,0,21,5,606.85,Ineficiente
Usuario_439,Comercio,CLP,4,2,1,26,6,1067.46,Ineficiente
Usuario_440,Casa,CLP,4,4,0,12,11,273.49,Eficiente
Usuario_441,Casa,PEN,8,5,1,19,12,326.6,Eficiente
Usuario_442,Casa,BRL,7,5,1,20,4,1116.68,Ineficiente
Usuario_443,Oficina,PEN,3,5,1,25,2,647.89,Moderado
Usuario_444,Comercio,CLP,8,4,1,33,12,842.13,Moderado
Usuario_445,Comercio,CLP,1,6,0,35,10,1433.0,Ineficiente
Usuario_446,Casa,USD,4,5,0,11,11,677.69,Ineficiente
Usuario_447,Casa,CLP,11,5,0,22,13,750.81,Ineficiente
Usuario_448,Comercio,USD,1,0,1,33,12,1500.36,Ineficiente
Usuario_449,Apartamento,ARS,6,3,1,38,12,562.72,Moderado
Usuario_450,Apartamento,COP,1,3,1,27,2,359.84,Eficiente
Usuario_451,Casa,BRL,12,1,1,22,8,999.64,Ineficiente
Usuario_452,Apartamento,CLP,8,2,1,29,12,471.24,Ineficiente
Usuario_453,Comercio,COP,2,2,1,8,1,944.88,Ineficiente
Usuario_454,Oficina,PEN,2,5,0,16,9,1033.49,Ineficiente
Usuario_455,Apartamento,CLP,3,2,1,30,4,294.44,Eficiente
Usuario_456,Comercio,PEN,3,1,0,28,7,959.11,Moderado
Usuario_457,Casa,PEN,10,1,1,28,7,333.37,Eficiente
Usuario_458,Casa,PEN,4,1,1,5,10,395.94,Ineficiente
Usuario_459,Casa,BRL,9,1,1,13,8,357.55,Eficiente
Usuario_460,Casa,COP,11,6,1,21,10,390.97,Eficiente
Usuario_461,Comercio,CLP,7,4,1,23,8,656.49,Eficiente
Usuario_462,Apartamento,BRL,11,5,0,38,2,785.5,Moderado
Usuario_463,Apartamento,COP,2,1,1,12,6,513.61,Ineficiente
Usuario_464,Apartamento,CLP,7,3,1,37,7,631.99,Ineficiente
Usuario_465,Comercio,MXN,8,5,1,12,9,1430.01,Ineficiente
Usuario_466,Apartamento,ARS,5,1,1,29,10,484.71,Moderado
Usuario_467,Casa,BRL,6,0,1,13,7,482.54,Eficiente
Usuario_468,Comercio,ARS,11,3,1,29,8,1505.61,Ineficiente
Usuario_469,Apartamento,USD,10,0,0,15,5,280.02,Eficiente
Usuario_470,Casa,COP,4,4,1,30,10,968.42,Ineficiente
Usuario_471,Comercio,CLP,9,0,1,18,13,464.99,Eficiente
Usuario_472,Oficina,CLP,1,6,0,35,4,1267.36,Ineficiente
Usuario_473,Comercio,USD,12,6,0,16,5,612.42,Eficiente
Usuario_474,Casa,ARS,5,2,0,6,8,652.82,Ineficiente
Usuario_475,Casa,BRL,4,1,0,38,12,885.02,Moderado
Usuario_476,Oficina,BRL,12,4,0,11,10,1292.6,Ineficiente
Usuario_477,Apartamento,BRL,4,6,1,4,10,203.76,Eficiente
Usuario_478,Oficina,CLP,5,4,1,21,12,693.7,Ineficiente
Usuario_479,Oficina,COP,10,2,0,33,11,1258.89,Ineficiente
Usuario_480,Casa,MXN,7,0,0,9,12,626.8,Ineficiente
Usuario_481,Apartamento,MXN,3,5,1,16,13,492.01,Ineficiente
Usuario_482,Comercio,ARS,3,4,0,27,7,1305.6,Moderado
Usuario_483,Comercio,USD,11,6,0,6,7,788.8,Moderado
Usuario_484,Oficina,PEN,6,3,0,21,10,779.01,Ineficiente
Usuario_485,Casa,BRL,12,0,0,30,11,964.27,Ineficiente
Usuario_486,Oficina,BRL,2,6,1,14,7,1267.82,Ineficiente
Usuario_487,Apartamento,ARS,5,2,0,22,9,281.16,Eficiente
Usuario_488,Apartamento,CLP,8,6,1,4,1,199.8,Eficiente
Usuario_489,Casa,PEN,8,0,1,11,8,645.13,Ineficiente
Usuario_490,Comercio,USD,7,1,0,9,11,1323.06,Ineficiente
Usuario_491,Oficina,MXN,5,0,0,17,2,772.11,Moderado
Usuario_492,Oficina,PEN,11,1,1,20,12,765.02,Ineficiente
Usuario_493,Apartamento,ARS,11,0,0,1,4,220.05,Eficiente
Usuario_494,Comercio,USD,3,4,1,29,1,734.53,Eficiente
Usuario_495,Casa,PEN,6,6,1,28,12,580.03,Ineficiente
Usuario_496,Apartamento,ARS,2,1,1,7,2,332.85,Moderado
Usuario_497,Oficina,COP,5,1,1,9,11,710.9,Ineficiente
Usuario_498,Apartamento,USD,9,4,1,11,8,208.74,Eficiente
Usuario_499,Oficina,PEN,4,5,0,27,10,1070.9,Ineficiente
Usuario_500,Comercio,BRL,4,0,0,9,13,1469.47,Ineficiente
Usuario_501,Casa,CLP,12,3,1,28,6,771.22,Ineficiente
Usuario_502,Apartamento,MXN,5,5,1,36,10,663.71,Ineficiente
Usuario_503,Oficina,BRL,12,0,0,20,4,828.4,Eficiente
Usuario_504,Apartamento,PEN,7,2,0,16,8,537.51,Ineficiente
Usuario_505,Comercio,USD,4,3,0,5,9,950.7,Ineficiente
Usuario_506,Casa,COP,6,1,1,37,7,517.28,Eficiente
Usuario_507,Oficina,CLP,11,1,0,5,1,734.31,Ineficiente
Usuario_508,Casa,USD,5,1,1,4,13,543.41,Ineficiente
Usuario_509,Comercio,CLP,5,5,0,27,7,1277.66,Ineficiente
Usuario_510,Comercio,USD,11,4,1,10,5,1034.06,Ineficiente
Usuario_511,Casa,COP,2,4,0,10,9,630.04,Ineficiente
Usuario_512,Oficina,ARS,10,5,0,5,5,604.84,Eficiente
Usuario_513,Comercio,PEN,4,0,1,28,2,1345.43,Ineficiente
Usuario_514,Comercio,CLP,10,0,1,12,2,1050.29,Ineficiente
Usuario_515,Casa,PEN,3,5,1,32,6,371.45,Eficiente
Usuario_516,Oficina,MXN,6,1,0,18,12,463.89,Eficiente
Usuario_517,Casa,BRL,1,2,0,18,9,665.67,Moderado
Usuario_518,Casa,COP,12,4,0,32,8,1032.17,Ineficiente
Usuario_519,Oficina,USD,8,6,1,24,3,1098.4,Ineficiente
Usuario_520,Oficina,BRL,2,4,0,8,4,584.06,Eficiente
Usuario_521,Casa,USD,1,1,1,24,7,744.3,Ineficiente
Usuario_522,Apartamento,MXN,1,4,0,27,4,565.59,Moderado
Usuario_523,Oficina,MXN,7,5,1,5,10,1121.15,Ineficiente
Usuario_524,Oficina,USD,9,5,0,12,4,859.5,Ineficiente
Usuario_525,Casa,ARS,2,3,0,20,6,927.94,Ineficiente
Usuario_526,Casa,CLP,8,0,1,19,10,482.84,Ineficiente
Usuario_527,Oficina,PEN,10,1,1,38,8,775.12,Moderado
Usuario_528,Apartamento,PEN,9,6,0,10,1,248.92,Eficiente
Usuario_529,Comercio,USD,4,4,1,1,6,464.71,Eficiente
Usuario_530,Casa,BRL,11,3,0,20,2,896.41,Ineficiente
Usuario_531,Apartamento,CLP,4,3,1,4,3,320.45,Ineficiente
Usuario_532,Oficina,USD,1,1,0,34,7,1420.23,Ineficiente
Usuario_533,Oficina,ARS,12,0,1,33,3,1543.09,Ineficiente
Usuario_534,Comercio,USD,10,4,1,9,4,891.99,Moderado
Usuario_535,Oficina,COP,6,6,1,21,6,960.21,Ineficiente
Usuario_536,Comercio,COP,4,0,0,9,13,1252.19,Ineficiente
Usuario_537,Casa,MXN,2,1,1,21,7,993.09,Ineficiente
Usuario_538,Casa,CLP,6,6,1,20,8,388.93,Eficiente
Usuario_539,Oficina,BRL,2,0,1,20,12,956.84,Ineficiente
Usuario_540,Casa,MXN,6,1,1,16,6,400.82,Eficiente
Usuario_541,Comercio,CLP,1,5,1,12,1,1280.32,Ineficiente
Usuario_542,Comercio,BRL,8,4,0,16,2,1198.46,Moderado
Usuario_543,Comercio,USD,3,0,1,15,3,679.49,Eficiente
Usuario_544,Apartamento,BRL,7,2,0,6,10,470.33,Ineficiente
Usuario_545,Oficina,BRL,2,0,0,13,11,1015.33,Ineficiente
Usuario_546,Comercio,BRL,3,0,0,22,2,1007.22,Eficiente
Usuario_547,Casa,ARS,1,1,0,28,12,518.12,Eficiente
Usuario_548,Comercio,ARS,1,3,0,12,6,1280.4,Ineficiente
Usuario_549,Apartamento,MXN,5,2,1,10,1,386.51,Moderado
Usuario_550,Apartamento,PEN,5,3,1,36,8,662.28,Ineficiente
Usuario_551,Casa,USD,5,3,1,13,11,508.55,Ineficiente
Usuario_552,Apartamento,PEN,9,6,1,25,13,579.42,Ineficiente
Usuario_553,Oficina,ARS,9,6,1,37,9,1008.61,Ineficiente
Usuario_554,Oficina,ARS,5,1,1,39,4,1036.95,Moderado
Usuario_555,Casa,BRL,5,0,0,31,9,1059.65,Ineficiente
Usuario_556,Oficina,BRL,10,1,0,7,4,669.52,Eficiente
Usuario_557,Apartamento,COP,9,6,0,4,13,194.22,Eficiente
Usuario_558,Apartamento,CLP,7,2,0,12,3,205.65,Eficiente
Usuario_559,Apartamento,CLP,6,6,0,23,10,492.73,Ineficiente
Usuario_560,Casa,PEN,12,2,0,37,3,861.24,Ineficiente
Usuario_561,Apartamento,BRL,8,4,1,32,1,744.89,Ineficiente
Usuario_562,Casa,USD,4,4,1,34,8,505.66,Eficiente
Usuario_563,Casa,COP,10,1,0,22,12,406.7,Eficiente
Usuario_564,Apartamento,BRL,6,0,1,38,12,386.43,Eficiente
Usuario_565,Apartamento,BRL,2,6,1,24,2,540.47,Moderado
Usuario_566,Oficina,PEN,11,3,1,22,5,764.17,Ineficiente
Usuario_567,Oficina,MXN,3,5,0,32,11,862.66,Moderado
Usuario_568,Oficina,MXN,12,4,0,23,4,938.49,Moderado
Usuario_569,Apartamento,ARS,5,5,0,9,3,483.14,Ineficiente
Usuario_570,Casa,PEN,10,3,0,37,1,581.94,Eficiente
Usuario_571,Apartamento,CLP,6,6,0,15,11,340.88,Moderado
Usuario_572,Casa,ARS,3,2,0,16,6,727.52,Ineficiente
Usuario_573,Oficina,MXN,11,0,0,22,8,774.71,Eficiente
Usuario_574,Casa,COP,4,1,0,23,5,685.22,Moderado
Usuario_575,Casa,PEN,1,0,1,27,3,904.26,Ineficiente
Usuario_576,Comercio,ARS,7,2,1,7,8,1481.87,Ineficiente
Usuario_577,Apartamento,MXN,8,0,0,3,5,209.63,Eficiente
Usuario_578,Casa,COP,5,0,1,11,7,702.08,Ineficiente
Usuario_579,Apartamento,PEN,2,4,0,6,6,319.76,Moderado
Usuario_580,Comercio,PEN,1,3,0,11,10,738.85,Moderado
Usuario_581,Comercio,MXN,1,0,1,13,7,1126.17,Ineficiente
Usuario_582,Oficina,PEN,5,2,1,4,7,798.55,Ineficiente
Usuario_583,Comercio,MXN,1,2,1,6,5,1080.85,Ineficiente
Usuario_584,Comercio,MXN,2,0,1,19,2,1046.49,Moderado
Usuario_585,Comercio,BRL,2,2,0,31,8,1613.58,Ineficiente
Usuario_586,Oficina,USD,11,4,1,24,7,581.38,Eficiente
Usuario_587,Oficina,MXN,8,0,1,30,5,575.16,Eficiente
Usuario_588,Apartamento,BRL,5,4,1,7,2,241.4,Eficiente
Usuario_589,Oficina,BRL,9,3,0,38,4,702.42,Eficiente
Usuario_590,Casa,BRL,7,6,1,35,11,653.7,Moderado
Usuario_591,Comercio,CLP,4,3,1,26,12,603.77,Eficiente
Usuario_592,Casa,CLP,10,4,0,10,2,480.22,Moderado
Usuario_593,Comercio,MXN,3,1,0,9,1,694.15,Eficiente
Usuario_594,Comercio,USD,11,3,1,10,10,737.62,Moderado
Usuario_595,Oficina,COP,12,6,1,25,9,1265.16,Ineficiente
Usuario_596,Comercio,CLP,6,6,1,30,1,908.57,Moderado
Usuario_597,Comercio,USD,7,1,1,38,10,1463.52,Ineficiente
Usuario_598,Casa,USD,10,6,1,19,9,387.7,Eficiente
Usuario_599,Oficina,ARS,5,3,0,37,10,693.73,Eficiente
Usuario_600,Comercio,USD,3,2,1,39,11,648.56,Eficiente
Usuario_601,Comercio,USD,7,2,0,4,12,647.29,Eficiente
Usuario_602,Comercio,COP,6,0,1,20,5,793.37,Eficiente
Usuario_603,Oficina,BRL,8,6,0,7,4,518.42,Eficiente
Usuario_604,Apartamento,COP,12,3,0,21,5,322.66,Eficiente
Usuario_605,Comercio,CLP,11,0,1,14,7,526.64,Eficiente
Usuario_606,Comercio,BRL,9,6,1,4,9,931.79,Ineficiente
Usuario_607,Apartamento,USD,5,5,1,9,13,235.45,Moderado
Usuario_608,Casa,MXN,4,6,1,4,4,423.6,Moderado
Usuario_609,Casa,ARS,1,2,0,18,6,689.54,Moderado
Usuario_610,Comercio,CLP,7,5,0,2,4,956.26,Ineficiente
Usuario_611,Oficina,ARS,10,3,1,31,10,526.03,Eficiente
Usuario_612,Oficina,COP,3,6,0,6,5,805.22,Ineficiente
Usuario_613,Casa,ARS,1,1,0,14,4,717.62,Ineficiente
Usuario_614,Apartamento,PEN,4,2,0,33,1,313.47,Eficiente
Usuario_615,Casa,ARS,3,5,1,1,4,580.3,Ineficiente
Usuario_616,Oficina,CLP,5,5,0,18,7,881.5,Ineficiente
Usuario_617,Comercio,BRL,6,3,1,30,5,745.7,Eficiente
Usuario_618,Comercio,CLP,2,0,1,24,9,809.55,Moderado
Usuario_619,Oficina,COP,11,0,1,22,5,998.12,Ineficiente
Usuario_620,Oficina,BRL,5,2,0,20,4,1067.82,Moderado
Usuario_621,Apartamento,CLP,4,0,0,39,7,375.63,Eficiente
Usuario_622,Oficina,PEN,3,5,1,32,5,581.27,Eficiente
Usuario_623,Oficina,ARS,7,3,0,38,12,987.03,Moderado
Usuario_624,Apartamento,COP,12,5,1,35,11,654.78,Ineficiente
Usuario_625,Comercio,PEN,6,4,1,11,11,911.99,Ineficiente
Usuario_626,Apartamento,COP,2,3,1,17,12,416.51,Ineficiente
Usuario_627,Apartamento,PEN,6,5,1,23,4,407.8,Moderado
Usuario_628,Oficina,ARS,6,2,1,19,8,966.41,Ineficiente
Usuario_629,Casa,ARS,1,6,0,38,10,526.73,Eficiente
Usuario_630,Casa,ARS,4,4,1,25,9,515.72,Moderado
Usuario_631,Oficina,ARS,1,6,0,9,4,950.31,Ineficiente
Usuario_632,Oficina,ARS,10,3,1,12,13,980.26,Ineficiente
Usuario_633,Casa,ARS,6,5,0,21,11,633.43,Moderado
Usuario_634,Casa,USD,8,2,1,11,10,495.87,Ineficiente
Usuario_635,Apartamento,ARS,2,1,0,28,7,397.19,Eficiente
Usuario_636,Comercio,ARS,7,0,1,13,12,1065.28,Ineficiente
Usuario_637,Oficina,USD,6,6,0,13,1,684.1,Moderado
Usuario_638,Casa,PEN,12,1,1,23,5,491.49,Moderado
Usuario_639,Apartamento,USD,7,4,1,11,2,307.89,Moderado
Usuario_640,Casa,COP,5,3,0,39,9,679.31,Moderado
Usuario_641,Oficina,ARS,11,1,1,32,6,515.65,Eficiente
Usuario_642,Apartamento,MXN,7,0,1,9,4,356.08,Moderado
Usuario_643,Casa,CLP,9,1,1,3,7,273.13,Eficiente
Usuario_644,Oficina,BRL,9,4,1,4,11,592.11,Moderado
Usuario_645,Casa,PEN,1,0,0,27,8,445.07,Eficiente
Usuario_646,Comercio,USD,9,2,1,10,4,1162.61,Ineficiente
Usuario_647,Casa,COP,7,5,1,34,5,896.47,Ineficiente
Usuario_648,Apartamento,ARS,2,4,0,8,5,459.53,Ineficiente
Usuario_649,Casa,BRL,2,3,1,13,13,870.34,Ineficiente
Usuario_650,Oficina,BRL,9,1,1,27,5,943.78,Moderado
Usuario_651,Apartamento,USD,9,3,0,31,6,321.48,Eficiente
Usuario_652,Apartamento,USD,1,5,1,8,10,371.38,Ineficiente
Usuario_653,Comercio,MXN,2,6,1,7,5,1186.62,Ineficiente
Usuario_654,Apartamento,ARS,5,2,1,7,3,408.48,Ineficiente
Usuario_655,Casa,BRL,5,2,0,21,7,641.28,Eficiente
Usuario_656,Casa,USD,1,0,0,11,6,366.48,Eficiente
Usuario_657,Oficina,ARS,10,2,0,6,6,532.74,Eficiente
Usuario_658,Oficina,MXN,2,3,1,30,5,942.52,Moderado
Usuario_659,Comercio,PEN,8,6,1,11,2,932.69,Ineficiente
Usuario_660,Apartamento,PEN,12,0,0,11,2,393.96,Moderado
Usuario_661,Comercio,CLP,8,6,1,29,3,801.97,Moderado
Usuario_662,Comercio,BRL,6,4,1,9,8,1469.75,Ineficiente
Usuario_663,Comercio,USD,7,3,1,17,11,1159.23,Ineficiente
Usuario_664,Oficina,USD,12,6,0,37,12,766.4,Moderado
Usuario_665,Apartamento,PEN,6,4,1,7,7,184.01,Eficiente
Usuario_666,Apartamento,ARS,6,5,0,25,3,347.82,Eficiente
Usuario_667,Casa,USD,11,1,1,31,8,505.88,Eficiente
Usuario_668,Apartamento,USD,8,2,1,18,1,276.89,Eficiente
Usuario_669,Apartamento,CLP,11,3,1,16,2,246.35,Eficiente
Usuario_670,Comercio,ARS,10,3,1,32,8,930.77,Eficiente
Usuario_671,Oficina,USD,8,5,0,7,7,430.0,Eficiente
Usuario_672,Comercio,USD,9,4,1,6,13,1119.58,Ineficiente
Usuario_673,Oficina,CLP,9,1,0,30,6,453.04,Eficiente
Usuario_674,Oficina,BRL,1,6,1,30,6,1148.35,Ineficiente
Usuario_675,Comercio,PEN,11,2,0,8,2,733.35,Eficiente
Usuario_676,Apartamento,USD,6,2,0,19,9,588.64,Ineficiente
Usuario_677,Oficina,PEN,2,0,0,32,3,588.09,Eficiente
Usuario_678,Comercio,USD,5,4,1,8,7,762.36,Moderado
Usuario_679,Apartamento,ARS,4,5,1,27,1,752.72,Ineficiente
Usuario_680,Casa,BRL,8,3,0,33,3,1079.79,Ineficiente
Usuario_681,Comercio,USD,9,5,1,28,10,1309.37,Ineficiente
Usuario_682,Comercio,CLP,3,5,1,9,2,596.07,Eficiente
Usuario_683,Comercio,PEN,10,4,0,33,7,705.98,Eficiente
Usuario_684,Comercio,CLP,12,6,1,26,6,1192.25,Ineficiente
Usuario_685,Oficina,ARS,3,1,1,33,5,1285.29,Ineficiente
Usuario_686,Oficina,PEN,12,4,0,13,4,763.31,Moderado
Usuario_687,Oficina,PEN,6,5,1,12,9,663.37,Ineficiente
Usuario_688,Oficina,PEN,2,6,1,31,10,719.11,Moderado
Usuario_689,Comercio,PEN,12,6,1,28,13,1382.46,Ineficiente
Usuario_690,Casa,CLP,2,0,1,4,11,311.17,Moderado
Usuario_691,Casa,MXN,5,6,0,19,11,533.24,Moderado
Usuario_692,Oficina,MXN,1,5,0,14,13,829.96,Ineficiente
Usuario_693,Casa,COP,8,0,0,36,4,741.99,Moderado
Usuario_694,Comercio,MXN,9,6,0,19,12,825.39,Eficiente
Usuario_695,Casa,ARS,7,3,0,21,9,468.41,Eficiente
Usuario_696,Casa,USD,12,2,1,29,4,810.27,Ineficiente
Usuario_697,Oficina,BRL,10,4,0,13,13,644.08,Eficiente
Usuario_698,Apartamento,COP,8,1,0,5,3,322.48,Moderado
Usuario_699,Apartamento,PEN,9,0,1,28,5,318.19,Eficiente
Usuario_700,Oficina,MXN,3,4,0,1,6,631.6,Moderado
Usuario_701,Comercio,PEN,3,0,1,21,10,933.93,Ineficiente
Usuario_702,Casa,BRL,11,4,0,20,8,398.92,Eficiente
Usuario_703,Oficina,USD,12,2,1,12,9,641.95,Ineficiente
Usuario_704,Casa,BRL,9,1,1,35,7,555.22,Eficiente
Usuario_705,Casa,COP,4,1,0,22,6,366.38,Eficiente
Usuario_706,Oficina,MXN,10,4,1,36,13,1440.82,Ineficiente
Usuario_707,Casa,USD,11,2,1,16,1,440.89,Moderado
Usuario_708,Oficina,ARS,2,3,1,19,1,1162.84,Ineficiente
Usuario_709,Oficina,CLP,9,3,1,19,11,501.5,Moderado
Usuario_710,Apartamento,COP,9,0,0,11,13,414.44,Ineficiente
Usuario_711,Casa,PEN,2,1,0,14,11,686.55,Ineficiente
Usuario_712,Comercio,BRL,2,1,1,28,11,1524.58,Ineficiente
Usuario_713,Casa,PEN,11,1,1,22,1,535.47,Moderado
Usuario_714,Casa,USD,1,1,0,36,2,742.39,Moderado
Usuario_715,Apartamento,COP,7,3,1,26,7,490.38,Moderado
Usuario_716,Oficina,USD,7,5,1,1,11,893.55,Ineficiente
Usuario_717,Casa,BRL,12,4,1,5,6,769.96,Ineficiente
Usuario_718,Casa,COP,11,2,0,19,13,824.93,Ineficiente
Usuario_719,Comercio,ARS,7,6,0,31,3,868.59,Eficiente
Usuario_720,Apartamento,MXN,12,3,0,35,5,880.04,Ineficiente
Usuario_721,Apartamento,COP,11,6,0,24,1,665.49,Ineficiente
Usuario_722,Apartamento,USD,1,0,1,26,9,384.52,Moderado
Usuario_723,Casa,COP,4,5,0,23,4,373.7,Eficiente
Usuario_724,Comercio,PEN,9,1,1,15,10,1044.73,Ineficiente
Usuario_725,Oficina,MXN,2,1,0,37,1,1236.38,Ineficiente
Usuario_726,Comercio,PEN,9,0,1,5,5,1013.61,Ineficiente
Usuario_727,Casa,MXN,12,4,1,22,6,514.61,Eficiente
Usuario_728,Apartamento,PEN,11,1,1,5,4,344.63,Ineficiente
Usuario_729,Oficina,ARS,8,2,0,20,12,581.98,Eficiente
Usuario_730,Apartamento,CLP,10,2,0,28,3,305.16,Eficiente
Usuario_731,Casa,COP,4,6,1,28,5,460.62,Eficiente
Usuario_732,Oficina,MXN,11,5,1,31,8,1216.82,Ineficiente
Usuario_733,Comercio,COP,5,3,1,12,11,1057.45,Ineficiente
Usuario_734,Casa,BRL,5,6,0,35,4,849.04,Moderado
Usuario_735,Oficina,PEN,11,0,0,2,9,470.02,Moderado
Usuario_736,Casa,BRL,10,4,1,38,4,1159.31,Ineficiente
Usuario_737,Casa,CLP,5,4,0,35,8,562.72,Eficiente
Usuario_738,Apartamento,COP,7,1,0,38,12,896.32,Ineficiente
Usuario_739,Oficina,MXN,8,4,1,26,6,846.06,Moderado
Usuario_740,Casa,PEN,4,6,0,11,13,406.51,Moderado
Usuario_741,Apartamento,ARS,3,1,1,37,11,603.18,Moderado
Usuario_742,Apartamento,PEN,12,3,0,3,4,240.28,Eficiente
Usuario_743,Comercio,MXN,2,2,1,3,11,1290.32,Ineficiente
Usuario_744,Apartamento,CLP,6,3,1,30,1,456.53,Moderado
Usuario_745,Casa,PEN,6,0,0,34,11,491.75,Eficiente
Usuario_746,Oficina,BRL,12,2,1,37,3,1647.25,Ineficiente
Usuario_747,Comercio,PEN,7,2,1,5,9,795.43,Ineficiente
Usuario_748,Oficina,ARS,4,4,1,23,8,860.41,Moderado
Usuario_749,Comercio,CLP,1,4,0,29,3,1453.17,Ineficiente
Usuario_750,Apartamento,USD,9,5,1,10,3,367.27,Ineficiente
Usuario_751,Apartamento,COP,10,5,0,15,7,255.93,Eficiente
Usuario_752,Oficina,PEN,2,3,0,31,4,1258.34,Ineficiente
Usuario_753,Apartamento,PEN,7,0,1,9,10,391.65,Ineficiente
Usuario_754,Apartamento,MXN,11,4,1,37,3,554.77,Moderado
Usuario_755,Casa,MXN,5,1,1,26,10,474.39,Eficiente
Usuario_756,Casa,PEN,12,5,0,6,4,606.14,Ineficiente
Usuario_757,Comercio,CLP,8,6,1,15,7,900.41,Ineficiente
Usuario_758,Apartamento,BRL,10,6,0,33,5,658.31,Moderado
Usuario_759,Apartamento,PEN,11,2,0,39,10,755.01,Ineficiente
Usuario_760,Casa,MXN,7,3,1,2,4,672.13,Ineficiente
Usuario_761,Comercio,BRL,3,4,1,31,10,855.11,Eficiente
Usuario_762,Casa,BRL,9,4,0,6,8,435.44,Eficiente
Usuario_763,Apartamento,CLP,9,6,1,28,9,339.06,Moderado
Usuario_764,Comercio,COP,1,5,1,15,13,1330.71,Ineficiente
Usuario_765,Comercio,BRL,7,2,1,37,2,870.78,Eficiente
Usuario_766,Comercio,MXN,5,3,0,6,5,1006.34,Moderado
Usuario_767,Comercio,COP,4,0,0,1,10,1012.85,Ineficiente
Usuario_768,Casa,CLP,1,3,0,21,7,791.74,Ineficiente
